OSS,,Unnamed: 0,Unnamed: 0.1.1,URL,average_rating,description,last_update,num_ratings,weekly_downloads,Category,last_update_days_ago,last_update_hours_ago,last_update_date,date_registered,days_since_release
2Geom,7346,7346,1096,/projects/lib2geom/?source=directory,0,"lib2geom (2Geom in private life) is a library developed for inkscape to provide a robust computational geometry framework. It is not a rendering library, instead concentrating on high level algorithms such as computing arc length.",5/14/13,0,16,Graphics,1248,29952,5/14/13,5/17/06,3802
AGASTPP,7347,7347,1097,/projects/agastpp/?source=directory,0,C++ implementation of the Adaptive and Generic Accelerated Segment Test (AGAST): a highly efficient corner detector based on the same corner test as FAST. For a C implementation please refer to http://sourceforge.net/projects/agast/,4/15/13,0,16,Graphics,1277,30648,4/15/13,12/27/10,2117
Aorta,7348,7348,1098,/projects/aorta/?source=directory,0,Aorta (the Aleph One Replacement Texture Accessory) is a tool for creating high quality RGB and S3TC / DXTC (using the Squish library) DDS textures.,4/18/13,0,16,Graphics,1274,30576,4/18/13,10/9/06,3657
ColladaLoader,7349,7349,1099,/projects/colladaloader/?source=directory,0,This project is about an open source application to load and visualize COLLADA files in real time using OpenGL.,4/2/13,0,16,Graphics,1290,30960,4/2/13,6/4/07,3419
DipStych,7350,7350,1100,/projects/dipstych/?source=directory,0,DipStych is a simple program that stitches together multiple images.,3/25/13,0,16,Graphics,1298,31152,3/25/13,9/28/06,3668
FlightTrack,7351,7351,1101,/projects/flighttrack/?source=directory,0,FlightTrack is a 2D/3D GPS track viewing software for light aviation pilots using MacOS X.,4/3/13,0,16,Graphics,1289,30936,4/3/13,9/23/02,5134
IP9100d daemon of video observation,7352,7352,1102,/projects/ip9100d/?source=directory,0,"Four-channel daemon of video observation for IP video servers Aviosys IP9100A (B, Plus). ",3/13/13,0,16,Graphics,1310,31440,3/13/13,5/16/06,3803
Java Binding for SDL,7353,7353,1103,/projects/sdljava/?source=directory,0,sdljava is a java binding to the SDL library.,6/4/13,0,16,Graphics,1227,29448,6/4/13,11/22/04,4343
LainOS,7354,7354,1104,/projects/lainos/?source=directory,0,"LainOS is an OpenSource project that seeks to revolutionize the the user experience by bridging the realm between \""Alien Elegance\"" and Human Usability, and thus create a truly new and unique interface that is user savvy and beautiful. ",2/21/13,0,16,Graphics,1330,31920,2/21/13,3/9/02,5332
OpenCV Facerecog,7355,7355,1105,/projects/opencvfacerecog/?source=directory,0,Face Detection and Recognition using Intel's OpenCV library,4/17/13,0,16,Graphics,1275,30600,4/17/13,5/4/10,2354
PyGTS,7356,7356,1106,/projects/pygts/?source=directory,0,"PyGTS is a python package used to construct, manipulate, and perform computations on triangulated surfaces.  It is a hand-crafted and pythonic binding for the GNU Triangulated Surface (GTS) Library.  THIS PROJECT IS NOT BEING MAINTAINED.",2/21/15,0,16,Graphics,600,14400,2/21/15,5/11/09,2712
RadEdit - ATI Radeon BIOS Editor,7357,7357,1107,/projects/radedit/?source=directory,0,A tool for modifying ATI Radeon BIOS images:,3/19/13,0,16,Graphics,1304,31296,3/19/13,1/31/03,5004
RyzomBlend,7358,7358,1108,/projects/ryzomblend/?source=directory,0,Blender port of Ryzom art data,1/22/16,0,16,Graphics,265,6360,1/22/16,1/12/16,275
ScanToPrinter,7359,7359,1109,/projects/scantoprinter/?source=directory,0,Scan from a TWAIN device and print,1/17/15,0,16,Graphics,635,15240,1/17/15,1/5/15,647
StarFactory,7360,7360,1110,/projects/starfactory/?source=directory,0,Astrophotography,8/5/16,0,16,Graphics,69,1656,8/5/16,12/11/09,2498
TilePic reader,7361,7361,1111,/projects/tilepicreader/?source=directory,0,"(1) Windows reader for the TilePic graphics format (http://elib.cs.berkeley.edu/tilepic/). (2) Windows stitcher of Jpeg tiles, obtained through a TilePic web interface. (3) Batch file to retrieve TilePic parameters.",3/22/16,0,16,Graphics,205,4920,3/22/16,10/29/07,3272
Transform SWF for Java,7362,7362,1112,/projects/transform-swf/?source=directory,0,"Transform SWF is an easy to use library for reading and writing Flash and Flash Video files. As of 25/11/2010 the latest version (3.0) can now be found at GitHub, https://github.com/StuartMacKay/transform-swf.",4/24/13,0,16,Graphics,1268,30432,4/24/13,11/15/04,4350
coindesigner,7363,7363,1113,/projects/coindesigner/?source=directory,0,"Coindesigner is a RAD environment to build 3D scenes based in openInventor, just using drag&drop and updating changes on the fly. An external multi platform viewer allows to distribute the scene without need of the RAD.",8/5/15,0,16,Graphics,435,10440,8/5/15,11/17/04,4348
cuecue,7364,7364,1114,/projects/cuecue.berlios/?source=directory,0,"cuecue is a command line program to convert .cue + [.ogg|.flac|.wav|.mp3] to .cue + .bin, in order to make them easier to burn with standard burning software.  If you like it, if you want a graphical frontend, if it didn't worked, send me feedback !",6/9/14,0,16,Graphics,857,20568,6/9/14,8/30/04,4427
jGraphViz,7365,7365,1115,/projects/jgraphviz/?source=directory,0,Java wrapper around the SWIG libgv bindings and prototype graph rendering based on GEF.,1/7/13,0,16,Graphics,1375,33000,1/7/13,7/18/08,3009
pyscript,7366,7366,1116,/projects/pyscript/?source=directory,0,Python module and scripts for creating high-quality postscript drawings and presentations.,4/17/13,0,16,Graphics,1275,30600,4/17/13,4/2/02,5308
lignumCAD,7367,7367,1117,/projects/lignumcad/?source=directory,4.8,lignumCAD is a solid modeling tool oriented towards the design of furniture.,12/10/12,4,4,Graphics,1403,33672,12/10/12,6/5/00,5974
The OpenSG Scenegraph,7368,7368,1118,/projects/opensg/?source=directory,4.8,"OpenSG is a scenegraph system for realtime rendering. Besides good performance our goals are easy multithreading support, portability, and a very extendable system.",10/3/16,18,3,Graphics,10,240,10/3/16,5/3/00,6007
Agar,7369,7369,1119,/projects/agar/?source=directory,3,"A fast, unobtrusive and modern cross-platform GUI toolkit. Agar fully exploits hardware acceleration where available, but also supports simple frame-buffer interfaces. Agar is stand-alone and easily portable to new platforms and graphics systems.",3/28/16,2,19,Graphics,199,4776,3/28/16,3/23/03,4953
Cam2,7370,7370,1120,/projects/cam2/?source=directory,3,take a picture from your USB camera,12/6/12,2,19,Graphics,1407,33768,12/6/12,8/12/12,1523
Fast Image (JPG) Resizer for Java,7371,7371,1121,/projects/fir4j/?source=directory,3.7,"The ""Fast Image Resizer for Java Tool"" has following features: resize all JPEG/JPG images of a directory, generate web galleries, store resized images in a ZIP file, add text or image watermark. The Tool is available in German and English.",4/30/13,3,9,Graphics,1262,30288,4/30/13,11/14/08,2890
Quick_Scan,7372,7372,1122,/projects/quickscan/?source=directory,3.3,A Quick Scan Tool,4/27/16,3,9,Graphics,169,4056,4/27/16,6/9/13,1222
AcMus,7373,7373,1123,/projects/acmus/?source=directory,0,"AcMus is a project on musical acoustics devoted to the development of models and computer tools for the study of room acoustics and focus on helping the investigation of issues related to the design, control and acoustic treatment of environments.",4/18/13,0,15,Graphics,1274,30576,4/18/13,3/21/07,3494
Coolmon2 Plugins,7374,7374,1124,/projects/cm2-plugins/?source=directory,0,"General and Visual plugins for Coolmon 2. A System Monitoring tool displaying the information on your desktop with Graphs, Bars, Guages, Images, and Text.",4/18/13,0,15,Graphics,1274,30576,4/18/13,10/6/06,3660
DMX Lighting Desk,7375,7375,1125,/projects/dmxdesk/?source=directory,0,DMX Desk is a Lighting Control desk in software.  It is Modelled on a theatre control type console and is able to create a DMX signal through a variety of output devices.,4/1/13,0,15,Graphics,1291,30984,4/1/13,9/21/08,2944
EasyScan,7376,7376,1126,/projects/easyscan/?source=directory,0,"Front-end web for SANE project, with external software can convert image into pdf, txt and jpg",3/12/13,0,15,Graphics,1311,31464,3/12/13,11/2/05,3998
Filters,7377,7377,1127,/projects/filters/?source=directory,0,"Filters is a image processing library: filter sobel,convolution,morphology,vectorization,segmentation,blob,blur,histogram,susan,threshold,texture,contrast,standard deviation,canny,distance map,matrix,contour,edge,rotation,correlation,gradient anisotropic",10/18/12,0,15,Graphics,1456,34944,10/18/12,9/23/04,4403
Image to Ascii Art,7378,7378,1128,/projects/imagetoasciiart/?source=directory,0,"Convert images to Ascii Art, with a lot of options and drawing tools",12/5/15,0,15,Graphics,313,7512,12/5/15,11/8/14,705
SagCAD,7379,7379,1129,/projects/sagcad/?source=directory,0,Linux 2D CAD/CAM,3/22/13,0,15,Graphics,1301,31224,3/22/13,6/4/03,4880
Screen View!,7380,7380,1130,/projects/scrview/?source=directory,0,"Screen View is an Open Source Tool to Record your Windows Desktop (with or without sound) and save it as standards movies, such as AVI, MPEG, MJPEG, etc... The project is similar to the propietary product Camtasia, but this is Open Source.",4/11/13,0,15,Graphics,1281,30744,4/11/13,7/9/02,5210
The Disclosure Effect,7381,7381,1131,/projects/disclosure-fx/?source=directory,0,Disclosure Effect Plugin for Photo Booth on Mac,2/21/13,0,15,Graphics,1330,31920,2/21/13,2/21/13,1330
Voxel Terrain Engine,7382,7382,1132,/projects/thermite/?source=directory,0,This project has moved to http://www.volumesoffun.com,5/8/13,0,15,Graphics,1254,30096,5/8/13,1/15/02,5385
cbrPager,7383,7383,1133,/projects/cbrpager/?source=directory,0,"A no-nonsense, simple to use, small viewer for cbr and cbz (comic book archive) files. As it is written in C, the executable is small and fast. It views jpg (or jpg), gif and png images, and you can zoom in, out, fit-to-window.",9/14/12,0,15,Graphics,1490,35760,9/14/12,9/19/04,4407
screencapture,7384,7384,1134,/projects/screencapture/?source=directory,0,The goal of this project is to create an open source light weight screen capturing Framework for Windows based applications. Supports the following: 1. GDI Technique 2. DirectX FrontBuffer Mechanism 3. Windows Media Encoder ,4/5/13,0,15,Graphics,1287,30888,4/5/13,12/8/03,4693
SDL OO,7385,7385,1135,/projects/sdloo/?source=directory,5,"SDL OO is an object oriented access to the SDL (Simple DirectMedia Layer), SDL_image, SDL_mixer, SDL_net, SDL_ttf, ... written in C++. It supports 2D/3D windows and is optimized for game/GUI development.",3/19/13,1,8,Graphics,1304,31296,3/19/13,9/30/04,4396
Squadra,7386,7386,1136,/projects/squadra/?source=directory,5,A set-square on your screen!,9/6/15,1,8,Graphics,403,9672,9/6/15,7/16/11,1916
Tanky,7387,7387,1137,/projects/tanky/?source=directory,5,"Tanky is simple tank game created in Open Inventor / Coin that includes AI computer opponent, network gaming, and sound support.",12/11/12,1,8,Graphics,1402,33648,12/11/12,3/24/06,3856
Video Annotation and Reference System,7388,7388,1138,/projects/vars/?source=directory,5,"The Video Annotation and Reference System (VARS) is a software interface and database system that provides tools for describing, cataloging, retrieving, and viewing the visual, descriptive, and quantitative data associated with video.",11/9/15,1,8,Graphics,339,8136,11/9/15,10/19/05,4012
fotorelacjonusz,7389,7389,1139,/projects/fotorelacjonusz/?source=directory,5,Official skyscrapercity.com application for posting photos,9/5/13,1,8,Graphics,1134,27216,9/5/13,2/1/13,1350
Auto Masonry,7390,7390,1140,/projects/automasonry/?source=directory,5,"A Blender python script which automatically creates masonry and stonework. Think castles and cobblestone streets! v0.56 is usable and available at the Download page. Current version supports windows, doors, radial, and domes.",4/18/13,2,5,Graphics,1274,30576,4/18/13,1/25/08,3184
Glossy Serpent,7391,7391,1141,/projects/glossyserpent/?source=directory,5,Theme for the popular CEGUI.,3/19/14,2,5,Graphics,939,22536,3/19/14,2/26/12,1691
JBars,7392,7392,1142,/projects/jbars/?source=directory,5,"JBars is a java barcode generation tool. Barcodes can be accessed as a URL using JBars barcode generation servlet, as a PNG file or as a Java Image. Supported barcodes are: Code128,Interleaved2of5 and Code93",4/15/13,2,5,Graphics,1277,30648,4/15/13,7/3/03,4851
JoePaint,7393,7393,1143,/projects/joepaint/?source=directory,5,"JoePaint is everyone's drawing and painting software. It is vector based, and written entirely in Java. JoePaint will form the foundation for the Giant Picture Dictionary at www.giantpicturedictionary.com",3/13/13,2,5,Graphics,1310,31440,3/13/13,12/3/03,4698
OpenPaint,7394,7394,1144,/projects/openpaint/?source=directory,4,The cross-platform open source alternative to MS Paint.,4/22/13,2,5,Graphics,1270,30480,4/22/13,9/19/07,3312
PHP Media Gallery,7395,7395,1145,/projects/phpmediagallery/?source=directory,5,An intuitive MediaGallery for PHPNuke based Websides. Full featured and full customizable. Works with most PHPNuke based Software Versions from (6.5?) 7.x to 8.1. You can't see the Download now Button from here??? Please go to the Project page on fi,4/16/13,2,5,Graphics,1276,30624,4/16/13,10/3/09,2567
Shrimp Shader Generator,7396,7396,1146,/projects/shrimp/?source=directory,5,An interactive shader generator to create Renderman-compliant shaders.,8/12/16,2,5,Graphics,62,1488,8/12/16,8/22/00,5896
Vizant,7397,7397,1147,/projects/vizant/?source=directory,5,Vizant is an Apache Ant task to visualize an ant build file using GraphViz.,4/9/13,2,5,Graphics,1283,30792,4/9/13,7/14/02,5205
SIMDx86,7398,7398,1148,/projects/simdx86/?source=directory,5,"This library is meant for high performance calculations for science or 3D games/rasterizers using SIMD instructions of x86 processors to allow an unparalleled level of optimization. This takes advantage of MMX, 3DNow!, 3DNow!+/MMX+, & SSE/SSE2/SSE3/SSSE3",4/23/13,3,4,Graphics,1269,30456,4/23/13,1/25/05,4279
AAImageViewer + AAImageLib,7399,7399,1149,/projects/aaimageviewer/?source=directory,0,"AAImageViewer + AAImageLib is a simple application which can Read and Write all HDI Dune image formats (AAI, BMP, PNG, JPG). It includes a .NET library to read and write AAI image format.",4/17/13,0,14,Graphics,1275,30600,4/17/13,5/5/10,2353
DVD Slideshow,7400,7400,1150,/projects/dvd-slideshow/?source=directory,0,"dvd-slideshow makes a slideshow video that can be used to make flash video (FLV), MP4s, or a DVD with menus. You can add some nice effects like fades, crops, scrolls, or Ken Burns effects. Think of it as a command-line clone of iMovie.",12/30/15,0,14,Graphics,288,6912,12/30/15,1/21/04,4649
Easy Media Presenter,7401,7401,1151,/projects/easymediapresen/?source=directory,0,"Designed for church presentation software with focus on OS independence, ease of use and media such as video and backgrounds. ",4/18/13,0,14,Graphics,1274,30576,4/18/13,2/29/08,3149
GFrameCatcher,7402,7402,1152,/projects/gframecatcher.berlios/?source=directory,0,GFrameCatcher is a program that captures frames from a video file and save these frames as thumbnails in a single image file or all frames into a folder.,6/9/14,0,14,Graphics,857,20568,6/9/14,12/14/08,2860
GenIconXP,7403,7403,1153,/projects/geniconxp/?source=directory,0,GenIconXP is an icon utility for Windows. It allows one to convert any image format to a windows multi-resolution icon file (.ICO).,4/3/13,0,14,Graphics,1289,30936,4/3/13,10/14/04,4382
General Graphics Interface,7404,7404,1154,/projects/ggi/?source=directory,0,"GGI stands for ""General Graphics Interface"", and it is a project that aims to develop a reliable, stable and fast graphics system that works everywhere. We want to allow any program using GGI to run on any platform requiring at most a recompile.",10/7/14,0,14,Graphics,737,17688,10/7/14,12/10/00,5786
GeoTagGE,7405,7405,1155,/projects/geotagge/?source=directory,0,"GeoTagGE is a program for ""offline"" geo-tagging images. It integrates the Google Earth render window in it's own GUI for easy locating the palaces where the images where taken.",4/19/13,0,14,Graphics,1273,30552,4/19/13,9/10/07,3321
ImageGlass,7406,7406,1156,/projects/imageglass/?source=directory,0,"ImageGlass is a lightweight, versatile image viewing application. ",9/19/16,0,14,Graphics,24,576,9/19/16,12/19/10,2125
Java-Direct3D Wrapper,7407,7407,1157,/projects/java-direct3d/?source=directory,0,A Java class library that supports building 3D applications. Wraps the functionality of Direct3D.,3/13/13,0,14,Graphics,1310,31440,3/13/13,7/24/06,3734
Lumina,7408,7408,1158,/projects/lumina/?source=directory,0,"Lumina is a crossplatform IDE for OpenGL GLSL shaders. The flexible ECMA script based language is used for tools and rendering controll. It enables shader based animation, building renderer prototypes for deferred shading, depth peeling or HDR rendering.",4/22/13,0,14,Graphics,1270,30480,4/22/13,1/9/07,3565
Module barcode generator,7409,7409,1159,/projects/modulebarcodegenerator/?source=directory,0,Barcod-to-Bitmap,6/26/14,0,14,Graphics,840,20160,6/26/14,6/26/14,840
Osmose,7410,7410,1160,/projects/osmose-dev/?source=directory,0,"Osmose is a tool to prepare multimedia presentations. We invite everyone to leave the WYSIWYG mode to a more complete way of working, that articulates: working on the content, adding multimedia files, and working on the style using a graphic theme.",3/22/13,0,14,Graphics,1301,31224,3/22/13,8/13/05,4079
PDFSlide,7411,7411,1161,/projects/pdfslide/?source=directory,0,PDFSlide is presentation application for Mac OS X to display PDF presentations (such as those created by Beamer or Powerdot). PDFSlide includes a presenter mode with dual-head support.,4/8/13,0,14,Graphics,1284,30816,4/8/13,5/30/09,2693
PhotoForge,7412,7412,1162,/projects/photoforge/?source=directory,0,PhotoForge is a copy of the famous PhotoShop in Java.,4/22/13,0,14,Graphics,1270,30480,4/22/13,8/5/09,2626
SOLARIS THE GAME,7413,7413,1163,/projects/solaristhegame/?source=directory,0," SOLARIS is a graphic adventure created and developing  by Blender. The game takes place in the Solaris space station, as is described in the book ""Solaris"" by Stanislaw Lem and Tarkovsky's film.",5/2/13,0,14,Graphics,1260,30240,5/2/13,10/8/09,2562
blend2java,7414,7414,1164,/projects/blend2java/?source=directory,0,"A set of Python scripts, for use with Blender that will export to Java XML, which can be decoded with the standard java.beans.XMLDecoder class.",3/8/13,0,14,Graphics,1315,31560,3/8/13,11/2/02,5094
catmother,7415,7415,1165,/projects/catmother/?source=directory,0,Commercial quality 3D-engine (C++/DirectX9) and a fully playable prototype ,4/12/13,0,14,Graphics,1280,30720,4/12/13,9/12/03,4780
libcrn,7416,7416,1166,/projects/libcrn/?source=directory,0,"libcrn is document image processing library written in C++11 for Linux, Windows, Mac OsX and Google Android. It is a toolbox that allows to create easily software such as OCRs and layout analysis tools.",3/29/16,0,14,Graphics,198,4752,3/29/16,5/14/09,2709
png2jpeg,7417,7417,1167,/projects/png2jpeg/?source=directory,0,Simple utility to convert PNG to JPEG,9/28/16,0,14,Graphics,15,360,9/28/16,4/13/16,183
surf,7418,7418,1168,/projects/surf/?source=directory,0,surf is a tool to visualize algebraic curves and algebraic surfaces. It is written in C++. The GUI is written using the Gtk widget set.,4/25/13,0,14,Graphics,1267,30408,4/25/13,3/5/00,6066
3D Mesh-To-Heightmap Generator,7419,7419,1169,/projects/mesh2hmap/?source=directory,0,mesh2hmap is a simple command line tool for converting 3D meshes to raster heightmaps. This tool allows you to create terrains in your favourite 3D modeller and then easily convert to a heightmap image.,4/26/13,0,13,Graphics,1266,30384,4/26/13,3/7/06,3873
Avalon Scrollmaker,7420,7420,1170,/projects/avlnscrollmaker/?source=directory,0,Facilitates the creation of valid Anothak Scrolls for Avalon by providing a user-friendly interface to generate Lierseth symbols. Provides the option for simple Lierseth or full-color scrolls.,4/18/13,0,13,Graphics,1274,30576,4/18/13,5/3/10,2355
DSAquire,7421,7421,1171,/projects/dsaquire/?source=directory,0,Data aquasition software for Thurlby DSA524,7/14/15,0,13,Graphics,457,10968,7/14/15,10/7/14,737
Descend,7422,7422,1172,/projects/descend/?source=directory,0,Program for drawing 3D surfaces from mathematical equations,10/15/13,0,13,Graphics,1094,26256,10/15/13,10/11/04,4385
Double Fractal,7423,7423,1173,/projects/doublefractal/?source=directory,0,Easily creates high complex fractal images. Includes 3D prototypes.,4/5/14,0,13,Graphics,922,22128,4/5/14,3/16/13,1307
Eviewbox DICOM java project,7424,7424,1174,/projects/eviewbox/?source=directory,0,"Eviewbox is a java imaging suite, its purpose is to view and spread native DICOM medical images and allowing for 2D reconstructions. EViewbox applet will allow to see the DICOM images on every platform.",11/29/15,0,13,Graphics,319,7656,11/29/15,3/7/00,6064
FFFF - Fast Floating Fractal Fun,7425,7425,1175,/projects/ffff/?source=directory,0,"FFFF is the fastest Win32/OSX/Linux/IRIX Mandelbrot generator. Features OpenGL, realtime zoom, SSE/AltiVec QuadPixel, SSE2/3DNow! DualPixel calc, FPU per pixel calc, GPU asm (Fragment/Vertex) calc, multiprocessor support, and benchmarking. Opt asm code!",3/26/13,0,13,Graphics,1297,31128,3/26/13,4/10/02,5300
Goki Check,7426,7426,1176,/projects/gokicheck/?source=directory,0,Goki check aims to detect context from graphics image.,9/4/16,0,13,Graphics,39,936,9/4/16,1/6/13,1376
ImageJ,7427,7427,1177,/projects/imagej/?source=directory,0,"ImageJ is a public domain Java image processing program inspired by NIH Image for the Macintosh. It runs, either as an online applet or as a downloadable application, on any computer with a Java 1.1 or later. HOME @ http://rsb.info.nih.gov/ij/",4/16/13,0,13,Graphics,1276,30624,4/16/13,1/11/04,4659
JMeshLib,7428,7428,1178,/projects/jmeshlib/?source=directory,0,A C++ API to work with manifold triangle meshes.,4/11/13,0,13,Graphics,1281,30744,4/11/13,9/28/06,3668
JPatch open source patch modeler,7429,7429,1179,/projects/jpatch/?source=directory,0,"JPatch is a 3D Modelling/Animation tool designed to model and animate ""organic"" shapes such as humans, animals, aliens, etc. It's written in Java and outputs to POV-Ray and RenderMAN format (e.g. Aqsis).",4/17/13,0,13,Graphics,1275,30600,4/17/13,2/6/03,4998
Java Is Doomed,7430,7430,1180,/projects/javaisdoomed/?source=directory,0,JAVA is DOOMED (JID) is an OpenSource 3D engine implemented in JAVA and uses OpenGL as graphic API. The reference implementation of the Java bindings jogl is used to access the OpenGL API. ESCAPE and ModelLoader are applications based on JID.,4/8/13,0,13,Graphics,1284,30816,4/8/13,5/13/02,5267
Mirage Image Viewer,7431,7431,1181,/projects/mirageiv.berlios/?source=directory,0,Mirage is a fast GTK+ Image Viewer written in python,6/9/14,0,13,Graphics,857,20568,6/9/14,5/6/06,3813
Motion Capture Editor and Simulator,7432,7432,1182,/projects/mocapsim/?source=directory,0,"The project aims at Educational Low Cost Motion Capturing techniques, supporting various file formats such as BVH, ASF/AMC, RIB, MEL etc.",3/13/13,0,13,Graphics,1310,31440,3/13/13,7/24/06,3734
Picture Dictionary,7433,7433,1183,/projects/picturedict/?source=directory,0,"A learner may use Picture Dictionary to search for pictures according to criteria including location, tags, label and licenses, also allowing a teacher to create an image database of images according to the needs of a project at hand.",3/22/13,0,13,Graphics,1301,31224,3/22/13,4/2/08,3116
SANE driver for UMAX Astra 1220U Scanner,7434,7434,1184,/projects/umax1220u-sane/?source=directory,0,SANE (Scanner Access Now Easy) backend for the UMAX Astra 1220U (USB) scanner. This is a heavily modified adaptation of the original command driver written by Paul Mackerras.,4/11/13,0,13,Graphics,1281,30744,4/11/13,7/28/01,5556
Souzou,7435,7435,1185,/projects/souzou/?source=directory,0,"Souzou is a cross-platform drawing board application written in C++. It is intended to be used with homemade Wiimote smartboards, and allows the interactive whiteboard to be used like a normal whiteboard, and allows you to save captures of the content.",4/23/13,0,13,Graphics,1269,30456,4/23/13,6/3/08,3054
Spaceship Generator || PartArt: Space,7436,7436,1186,/projects/partartspace/?source=directory,0,Symmetric Sprite Editor,2/24/14,0,13,Graphics,962,23088,2/24/14,10/15/13,1094
Vision Egg,7437,7437,1187,/projects/visionegg/?source=directory,0,"The Vision Egg produces 2D and 3D visual stimuli on commodity (or workstation) video cards using hardware-accelerated OpenGL.  It is built for precise timing, precise color and luminance specification, and real-time control of graphics.",4/8/13,0,13,Graphics,1284,30816,4/8/13,11/26/01,5435
drawboard,7438,7438,1188,/projects/drawboard/?source=directory,0,Java applet used to make graphical teleconferences (like ,3/11/13,0,13,Graphics,1312,31488,3/11/13,4/4/01,5671
ezSIFT,7439,7439,1189,/projects/ezsift/?source=directory,0,An easy-to-use standalone SIFT library written in C/C++,3/29/15,0,13,Graphics,564,13536,3/29/15,9/16/13,1123
gplot,7440,7440,1190,/projects/gplot/?source=directory,0,Gplot provides a convenient front-end for gnuplot,7/5/13,0,13,Graphics,1196,28704,7/5/13,12/22/03,4679
rayshade-mathematica,7441,7441,1191,/projects/rayshade-math/?source=directory,0,rayshade and POV for Mathematica Export + view,7/12/14,0,13,Graphics,824,19776,7/12/14,4/5/13,1287
sif,7442,7442,1192,/projects/simpleimage/?source=directory,0,sif - Simple Image Folder. Put only one php-file into a webfolder which contains pictures and get a thumbnailed preview on the fly.,4/23/13,0,13,Graphics,1269,30456,4/23/13,3/10/08,3139
simdesign,7443,7443,1193,/projects/simdesign/?source=directory,0,"SimDesign open source folder for projects NativeXml, NativeJpg and NativeSvg",5/30/13,0,13,Graphics,1232,29568,5/30/13,8/21/11,1880
treebolic-wordnet,7444,7444,1194,/projects/treebolicwordnet/?source=directory,0,Treebolic hyperbolic visualization for WordNet,1/18/16,0,13,Graphics,269,6456,1/18/16,1/23/15,629
PhotoKit,7445,7445,1195,/projects/photokit/?source=directory,5,"Photo browser with impressive 3D effects, slide effects and animations",1/11/13,5,3,Graphics,1371,32904,1/11/13,12/11/12,1402
Encapsulated PostScript Clip Art Library,7446,7446,1196,/projects/epscliparts/?source=directory,5,"Huge collection of cliparts in Encapsulated PostScript format derived from Open Clip Art Library. Includes more than 6,500 clip arts freely available without restrictions for free use and distribution. Released as Public Domain.",4/15/13,1,7,Graphics,1277,30648,4/15/13,8/27/05,4065
FoxTools Screen Shooter,7447,7447,1197,/projects/screenshooter/?source=directory,5,Software for screen capture.,2/15/13,1,7,Graphics,1336,32064,2/15/13,2/9/13,1342
FreeSOLID,7448,7448,1198,/projects/freesolid/?source=directory,5,FreeSOLID is a library for collision detection of three-dimensional objects,4/26/15,1,7,Graphics,536,12864,4/26/15,10/19/02,5108
GIT and GaWis,7449,7449,1199,/projects/gaia-git/?source=directory,5,"GIT is an open source library that operates image transcoding for mobile applications. GaWis is an open source information system for the creation, management and use of a customizable information source about mobile devices.",4/3/13,1,7,Graphics,1289,30936,4/3/13,3/21/07,3494
GLT OpenGL C++ Toolkit,7450,7450,1200,/projects/glt/?source=directory,5, C++ class library for programming interactive 3D graphics with OpenGL,9/15/12,1,7,Graphics,1489,35736,9/15/12,10/2/01,5490
GTK uvc viewer,7451,7451,1201,/projects/guvcview.berlios/?source=directory,4,"guvcview is a video viewer and capture software for the linux UVC driver. It is based in luvcview (http://mxhaard.free.fr), but all controls are done with GTK, allowing for a more user friendly GUI.",6/9/14,1,7,Graphics,857,20568,6/9/14,3/1/07,3514
Hey Mang!,7452,7452,1202,/projects/heymang/?source=directory,5,Hey Mang! is an open-source manga downloader from online galleries,7/27/12,1,7,Graphics,1539,36936,7/27/12,7/27/12,1539
Higher PowerPoint,7453,7453,1203,/projects/higherppt/?source=directory,5,"Worship projection software focused on ease of use, with thumbnail-driven slide navigation, easy show preview/switching, creating on-the-fly slides / shows from lyrics, scripture, PowerPoint, etc, & integrated web library to aid worship leaders' planning.",4/10/13,1,7,Graphics,1282,30768,4/10/13,10/27/05,4004
Laidout,7454,7454,1204,/projects/laidout/?source=directory,5,"Laidout is desktop publishing software for Linux, particularly for multipage, cut and folded booklets, with page sizes that don't even have to be rectangular. Bug reports welcome!",10/10/15,1,7,Graphics,369,8856,10/10/15,2/21/06,3887
Motion Blur,7455,7455,1205,/projects/motionblur/?source=directory,5,"Motion Blur is a free, professional program to simulate various visual effects like blur, judder or tearing that accompany a motion picture. This gives you a preview of how a real motion picture would look like when filmed with the custom parameters.",4/11/13,1,7,Graphics,1281,30744,4/11/13,7/23/11,1909
Php Pdf Factory,7456,7456,1206,/projects/pdf-factory/?source=directory,5,PDFLib-free PDF creation using PHP. It has interface compatible with php pdf creator (pdf-php library).,3/27/13,1,7,Graphics,1296,31104,3/27/13,7/6/04,4482
SwingOSC,7457,7457,1207,/projects/swingosc/?source=directory,5,"SwingOSC is an OpenSoundControl (OSC) server intended for scripting Java(tm), such as to create graphical user interfaces with AWT/Swing classes. It uses the reflection and beans mechanism to dynamically create instances of java classes and control t",1/22/15,1,7,Graphics,630,15120,1/22/15,12/19/05,3951
3D Plot PovRay templates,7458,7458,1208,/projects/scpovplot3d/?source=directory,0,3D Charts - Templates for PovRay(TM) ,5/30/16,0,12,Graphics,136,3264,5/30/16,11/26/07,3244
Adjust for Panorama,7459,7459,1209,/projects/adjustforpanora/?source=directory,0,GIMP plug in to adjust images for panoramatic views,4/5/15,0,12,Graphics,557,13368,4/5/15,11/14/12,1429
